,iid,pid,match,age,age_o,gender,race,race_o,field_cd,career_c,imprace,imprelig,samerace,int_corr
0,1,11.0,0,21.0,27.0,0,4.0,2.0,1.0,,2.0,4.0,0,0.14
1,1,12.0,0,21.0,22.0,0,4.0,2.0,1.0,,2.0,4.0,0,0.54
2,1,13.0,1,21.0,22.0,0,4.0,4.0,1.0,,2.0,4.0,1,0.16
3,1,14.0,1,21.0,23.0,0,4.0,2.0,1.0,,2.0,4.0,0,0.61
4,1,15.0,1,21.0,24.0,0,4.0,3.0,1.0,,2.0,4.0,0,0.21
5,1,16.0,0,21.0,25.0,0,4.0,2.0,1.0,,2.0,4.0,0,0.25
6,1,17.0,0,21.0,30.0,0,4.0,2.0,1.0,,2.0,4.0,0,0.34
7,1,18.0,0,21.0,27.0,0,4.0,2.0,1.0,,2.0,4.0,0,0.5
8,1,19.0,1,21.0,28.0,0,4.0,2.0,1.0,,2.0,4.0,0,0.28
9,1,20.0,0,21.0,24.0,0,4.0,2.0,1.0,,2.0,4.0,0,-0.36
10,2,11.0,0,24.0,27.0,0,2.0,2.0,1.0,,2.0,5.0,1,0.29
11,2,12.0,0,24.0,22.0,0,2.0,2.0,1.0,,2.0,5.0,1,0.18
12,2,13.0,0,24.0,22.0,0,2.0,4.0,1.0,,2.0,5.0,0,0.1
13,2,14.0,1,24.0,23.0,0,2.0,2.0,1.0,,2.0,5.0,1,-0.21
14,2,15.0,0,24.0,24.0,0,2.0,3.0,1.0,,2.0,5.0,0,0.32
15,2,16.0,0,24.0,25.0,0,2.0,2.0,1.0,,2.0,5.0,1,0.73
16,2,17.0,0,24.0,30.0,0,2.0,2.0,1.0,,2.0,5.0,1,0.6
17,2,18.0,0,24.0,27.0,0,2.0,2.0,1.0,,2.0,5.0,1,0.07
18,2,19.0,1,24.0,28.0,0,2.0,2.0,1.0,,2.0,5.0,1,0.11
19,2,20.0,0,24.0,24.0,0,2.0,2.0,1.0,,2.0,5.0,1,0.39
20,3,11.0,0,25.0,27.0,0,2.0,2.0,2.0,,8.0,4.0,1,-0.24
21,3,12.0,0,25.0,22.0,0,2.0,2.0,2.0,,8.0,4.0,1,-0.14
22,3,13.0,0,25.0,22.0,0,2.0,4.0,2.0,,8.0,4.0,0,0.09
23,3,14.0,0,25.0,23.0,0,2.0,2.0,2.0,,8.0,4.0,1,-0.04
24,3,15.0,0,25.0,24.0,0,2.0,3.0,2.0,,8.0,4.0,0,-0.14
25,3,16.0,0,25.0,25.0,0,2.0,2.0,2.0,,8.0,4.0,1,-0.3
26,3,17.0,0,25.0,30.0,0,2.0,2.0,2.0,,8.0,4.0,1,-0.26
27,3,18.0,0,25.0,27.0,0,2.0,2.0,2.0,,8.0,4.0,1,0.29
28,3,19.0,0,25.0,28.0,0,2.0,2.0,2.0,,8.0,4.0,1,-0.15
29,3,20.0,0,25.0,24.0,0,2.0,2.0,2.0,,8.0,4.0,1,-0.47
30,4,11.0,0,23.0,27.0,0,2.0,2.0,1.0,1.0,1.0,1.0,1,-0.18
31,4,12.0,0,23.0,22.0,0,2.0,2.0,1.0,1.0,1.0,1.0,1,-0.18
32,4,13.0,0,23.0,22.0,0,2.0,4.0,1.0,1.0,1.0,1.0,0,0.05
33,4,14.0,1,23.0,23.0,0,2.0,2.0,1.0,1.0,1.0,1.0,1,-0.18
34,4,15.0,0,23.0,24.0,0,2.0,3.0,1.0,1.0,1.0,1.0,0,0.21
35,4,16.0,0,23.0,25.0,0,2.0,2.0,1.0,1.0,1.0,1.0,1,0.37
36,4,17.0,0,23.0,30.0,0,2.0,2.0,1.0,1.0,1.0,1.0,1,0.35
37,4,18.0,0,23.0,27.0,0,2.0,2.0,1.0,1.0,1.0,1.0,1,0.15
38,4,19.0,1,23.0,28.0,0,2.0,2.0,1.0,1.0,1.0,1.0,1,-0.47
39,4,20.0,0,23.0,24.0,0,2.0,2.0,1.0,1.0,1.0,1.0,1,-0.19
40,5,11.0,0,21.0,27.0,0,2.0,2.0,1.0,1.0,8.0,1.0,1,-0.43
41,5,12.0,0,21.0,22.0,0,2.0,2.0,1.0,1.0,8.0,1.0,1,0.0
42,5,13.0,0,21.0,22.0,0,2.0,4.0,1.0,1.0,8.0,1.0,0,-0.17
43,5,14.0,1,21.0,23.0,0,2.0,2.0,1.0,1.0,8.0,1.0,1,0.08
44,5,15.0,0,21.0,24.0,0,2.0,3.0,1.0,1.0,8.0,1.0,0,-0.16
45,5,16.0,0,21.0,25.0,0,2.0,2.0,1.0,1.0,8.0,1.0,1,0.06
46,5,17.0,0,21.0,30.0,0,2.0,2.0,1.0,1.0,8.0,1.0,1,-0.05
47,5,18.0,0,21.0,27.0,0,2.0,2.0,1.0,1.0,8.0,1.0,1,0.07
48,5,19.0,1,21.0,28.0,0,2.0,2.0,1.0,1.0,8.0,1.0,1,-0.13
49,5,20.0,0,21.0,24.0,0,2.0,2.0,1.0,1.0,8.0,1.0,1,-0.06
50,6,11.0,0,23.0,27.0,0,4.0,2.0,1.0,1.0,1.0,1.0,0,0.33
51,6,12.0,0,23.0,22.0,0,4.0,2.0,1.0,1.0,1.0,1.0,0,0.37
52,6,13.0,0,23.0,22.0,0,4.0,4.0,1.0,1.0,1.0,1.0,1,-0.51
53,6,14.0,1,23.0,23.0,0,4.0,2.0,1.0,1.0,1.0,1.0,0,0.12
54,6,15.0,0,23.0,24.0,0,4.0,3.0,1.0,1.0,1.0,1.0,0,0.35
55,6,16.0,0,23.0,25.0,0,4.0,2.0,1.0,1.0,1.0,1.0,0,0.19
56,6,17.0,0,23.0,30.0,0,4.0,2.0,1.0,1.0,1.0,1.0,0,0.47
57,6,18.0,0,23.0,27.0,0,4.0,2.0,1.0,1.0,1.0,1.0,0,0.03
58,6,19.0,1,23.0,28.0,0,4.0,2.0,1.0,1.0,1.0,1.0,0,0.46
59,6,20.0,0,23.0,24.0,0,4.0,2.0,1.0,1.0,1.0,1.0,0,0.43
60,7,11.0,0,22.0,27.0,0,4.0,2.0,1.0,1.0,2.0,4.0,0,0.19
61,7,12.0,0,22.0,22.0,0,4.0,2.0,1.0,1.0,2.0,4.0,0,0.21
62,7,13.0,0,22.0,22.0,0,4.0,4.0,1.0,1.0,2.0,4.0,1,0.52
63,7,14.0,1,22.0,23.0,0,4.0,2.0,1.0,1.0,2.0,4.0,0,-0.46
64,7,15.0,0,22.0,24.0,0,4.0,3.0,1.0,1.0,2.0,4.0,0,-0.27
65,7,16.0,0,22.0,25.0,0,4.0,2.0,1.0,1.0,2.0,4.0,0,0.59
66,7,17.0,0,22.0,30.0,0,4.0,2.0,1.0,1.0,2.0,4.0,0,0.31
67,7,18.0,0,22.0,27.0,0,4.0,2.0,1.0,1.0,2.0,4.0,0,0.08
68,7,19.0,1,22.0,28.0,0,4.0,2.0,1.0,1.0,2.0,4.0,0,-0.34
69,7,20.0,0,22.0,24.0,0,4.0,2.0,1.0,1.0,2.0,4.0,0,-0.16
70,8,11.0,0,25.0,27.0,0,2.0,2.0,13.0,6.0,1.0,1.0,1,-0.03
71,8,12.0,1,25.0,22.0,0,2.0,2.0,13.0,6.0,1.0,1.0,1,-0.11
